Word                 | No of occurrences of that word
the                  |       196
and                  |        81
a                    |        74
to                   |        67
of                   |        63
in                   |        62
r4300i               |        56
power                |        45
for                  |        38
is                   |        37
cache                |        33
performance          |        28
are                  |        27
mips                 |        27
instruction          |        25
data                 |        24
at                   |        22
processor            |        21
cost                 |        19
low                  |        18
features             |        17
applications         |        17
mode                 |        16
memory               |        16
as                   |        16
that                 |        16
from                 |        16
address              |        15
r4000                |        15
pipeline             |        15
system               |        13
design               |        13
dissipation          |        13
be                   |        13
management           |        13
or                   |        13
logic                |        12
an                   |        12
on                   |        12
this                 |        12
processors           |        12
reduced              |        12
these                |        11
has                  |        11
risc                 |        11
microprocessor       |        11
architecture         |        11
also                 |        11
reduction            |        11
die                  |        11
main                 |        11
can                  |        11
tlb                  |        10
by                   |        10
which                |        10
consumer             |        10
available            |        10
family               |         9
it                   |         9
high                 |         9
than                 |         9
instructions         |         8
with                 |         8
unit                 |         8
page                 |         8
been                 |         8
plastic              |         8
physical             |         8
allows               |         8
operation            |         8
price                |         8
inc                  |         8
area                 |         7
buffer               |         7
technologies         |         7
package              |         7
designed             |         7
uses                 |         7
virtual              |         7
lower                |         7
integer              |         7
64-bit               |         7
caches               |         7
reduces              |         7
size                 |         6
standard             |         6
translation          |         6
discussed            |         6
all                  |         6
used                 |         6
over                 |         6
bits                 |         6
on-chip              |         6
table                |         6
mhz                  |         6
one                  |         6
bus                  |         6
frequency            |         6
speed                |         6
consumption          |         6
architectural        |         6
techniques           |         6
will                 |         6
interface            |         5
32-bit               |         5
below                |         5
cpu                  |         5
less                 |         5
times                |         5
increases            |         5
such                 |         5
time                 |         5
when                 |         5
floating-point       |         5
path                 |         5
optimized            |         5
modes                |         5
reduce               |         5
r4400                |         5
access               |         5
up                   |         5
support              |         5
voltage              |         5
between              |         5
mti                  |         5
operations           |         5
require              |         4
watts                |         4
semiconductor        |         4
high-performance     |         4
have                 |         4
clock                |         4
simplified           |         4
using                |         4
initialization       |         4
compatibility        |         4
was                  |         4
silicon              |         4
greater              |         4
both                 |         4
their                |         4
complex              |         4
embedded             |         4
set                  |         4
column               |         4
series               |         4
test                 |         4
packaging            |         4
existing             |         4
four                 |         4
write-back           |         4
low-voltage          |         4
while                |         4
control              |         4
benefit              |         4
processing           |         4
into                 |         4
operating            |         4
32                   |         4
dynamic              |         4
written              |         4
pqfp                 |         4
implements           |         4
r3000                |         4
mmu                  |         4
flush                |         4
technology           |         4
software             |         4
include              |         4
first                |         4
addresses            |         4
space                |         4
microprocessors      |         4
computing            |         4
costs                |         4
implementation       |         4
exception            |         3
leading              |         3
hall                 |         3
1                    |         3
3                    |         3
chapter              |         3
sleep                |         3
same                 |         3
policy               |         3
external             |         3
therefore            |         3
multiple             |         3
micro                |         3
well                 |         3
write                |         3
corporation          |         3
integration          |         3
other                |         3
noise                |         3
redundancy           |         3
quad                 |         3
future               |         3
nec                  |         3
today                |         3
specint              |         3
containing           |         3
each                 |         3
difference           |         3
two                  |         3
run                  |         3
throughput           |         3
offers               |         3
more                 |         3
part                 |         3
addition             |         3
banks                |         3
optimizations        |         3
systems              |         3
assembly             |         3
chip                 |         3
additional           |         3
fpu                  |         3
bit                  |         3
being                |         3
products             |         3
complete             |         3
use                  |         3
backgrounder         |         3
different            |         3
